Timestamp_Dly	Dom_Wind_Direction_Dly	ENV__Dur_(Hrs)_Dly	Outside_Temp_(°F)_Dly-Ave	Wind_Chill_(°F)_Dly-Ave	Heat_Index_(°F)_Dly-Ave	Dew_Point_(°F)_Dly-Ave	Outside_Humidity_(%)_Dly-Ave	Wind_Speed_(mph)_Dly-Ave	Rain_Rate_(in/hr)_Dly-Ave	Barometer_(inHg)_Dly-Ave	Solar_Radiance_(W/m2)_Dly-Ave	Gr_Roof_Temp_(°F)_Dly-Ave	Wh_Roof_Temp_(°F)_Dly-Ave	Outside_Temp_(°F)_Dly-Min	Wind_Chill_(°F)_Dly-Min	Heat_Index_(°F)_Dly-Min	Dew_Point_(°F)_Dly-Min	Outside_Humidity_(%)_Dly-Min	Wind_Speed_(mph)_Dly-Min	Rain_Rate_(in/hr)_Dly-Min	Barometer_(inHg)_Dly-Min	Solar_Radiance_(W/m2)_Dly-Min	Gr_Roof_Temp_(°F)_Dly-Min	Wh_Roof_Temp_(°F)_Dly-Min	Outside_Temp_(°F)_Dly-Max	Wind_Chill_(°F)_Dly-Max	Heat_Index_(°F)_Dly-Max	Dew_Point_(°F)_Dly-Max	Outside_Humidity_(%)_Dly-Max	Wind_Speed_(mph)_Dly-Max	Rain_Rate_(in/hr)_Dly-Max	Barometer_(inHg)_Dly-Max	Solar_Radiance_(W/m2)_Dly-Max	Gr_Roof_Temp_(°F)_Dly-Max	Wh_Roof_Temp_(°F)_Dly-Max
12:00:00.000 AM 10/3/2015		24.000831	46.072775	45.184562	45.760057	38.713996	76.285477	2.412494	0.000476	22.940869	33.029363	47.040308	43.214129	45.000000	43.868662	44.585029	33.689017	58.401590	1.232465	0.000000	19.118000	0.000000	45.381598	40.776416	48.921844	48.161924	48.703407	44.125727	95.000000	3.159046	0.011486	32.487999	137.475904	49.547979	46.607150
12:00:00.000 AM 10/4/2015		24.001056	52.601553	52.547595	52.850334	50.749143	93.525217	0.596860	0.000000	27.782457	52.551687	52.625338	53.050574	45.557228	45.191565	45.857230	44.208312	87.000000	0.046278	0.000000	17.542590	0.000000	47.172869	43.129099	58.313828	58.298998	58.313828	55.038117	97.421471	1.295775	0.000000	31.431540	263.470825	58.473213	68.745168
12:00:00.000 AM 10/5/2015		23.999114	61.370826	61.370275	61.766282	56.780457	85.927337	0.409588	0.000000	23.004096	123.657479	61.844244	64.109172	54.941083	54.941083	55.141081	53.329460	65.122000	0.000000	0.000000	16.033001	0.000000	56.559586	45.567423	73.417601	73.417601	74.339200	61.219146	96.623742	1.195609	0.000000	31.709000	521.099800	69.989073	99.318925
12:00:00.000 AM 10/6/2015		24.000057	58.582150	58.577871	58.950364	55.902277	91.174784	0.968713	0.000000	16.033001	70.554964	62.074112	59.293873	53.893348	53.893348	54.193347	53.005092	74.619238	0.026052	0.000000	16.033001	0.000000	58.588709	44.236309	68.285971	68.284568	69.189780	60.006242	97.000000	4.144000	0.000000	16.033001	414.510152	66.515820	87.621251
12:00:00.000 AM 10/7/2015		24.000245	60.394960	60.296290	60.314289	53.261536	79.395991	2.247941	0.000000	27.233515	154.146303	60.156754	58.662271	52.278000	52.258600	52.578001	51.171924	53.252988	0.087649	0.000000	19.806462	0.000000	54.969843	43.223261	72.146108	71.777844	71.884830	56.714324	96.338000	5.582000	0.000000	30.355000	558.079840	65.460318	94.392265
12:00:00.000 AM 10/15/2015		23.999803	51.085444	50.073185	50.352557	41.409269	70.617978	4.027754	0.000000	31.203377	57.961093	47.844101	42.154515	40.795626	40.673956	40.695626	38.006410	49.738523	0.027888	0.000000	18.862000	0.000000	42.412590	27.489996	61.970858	61.340120	60.023154	44.495720	90.015905	9.187625	0.000000	32.273998	398.375250	52.798965	63.385245
12:00:00.000 AM 10/16/2015		24.000207	44.343599	42.387693	43.862927	35.969378	73.018767	4.268599	0.000000	26.637314	87.623660	45.525760	38.312110	36.991468	34.405953	36.381548	27.554206	59.906188	0.585170	0.000000	18.862000	0.000000	41.133864	25.694546	51.348565	48.646825	50.820105	42.332023	89.508982	8.733598	0.000000	30.353001	404.770235	49.436357	59.599133
12:00:00.000 AM 10/17/2015		23.998617	37.382968	35.634558	36.761599	27.491936	68.568756	2.910395	0.000000	27.910903	75.242973	38.939542	31.763073	29.795833	28.254762	29.595833	25.704734	47.792829	0.131737	0.000000	26.451000	0.000000	33.867084	14.655305	44.350000	41.448805	43.176693	31.564489	87.740519	6.607921	0.000000	30.923000	298.363636	43.211085	51.138246
12:00:00.000 AM 10/18/2015		24.000640	39.408252	38.559394	38.694795	28.172085	65.612855	1.781906	0.000000	27.772844	145.537953	39.731926	34.910204	31.065217	30.950988	30.765217	25.588930	44.075697	0.000000	0.000000	27.481001	0.000000	34.323265	14.183492	49.896813	49.408367	48.554383	29.682650	81.656687	6.776675	0.000000	27.900000	551.075397	47.909744	70.510673
12:00:00.000 AM 10/19/2015		23.999307	49.435691	48.067083	47.806895	32.963048	56.735757	4.996146	0.000000	29.028391	129.125754	43.970150	45.800254	33.115779	31.827237	32.815779	27.510431	34.160000	0.636183	0.000000	26.346001	0.000000	33.316682	19.758693	66.375801	65.233001	63.233136	37.733956	80.731610	9.229084	0.000000	30.693001	524.043651	55.718002	81.073945
